YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,WSMN,RAIN
2019,1,1,NRMN,29.19,22.72,22.99,16.79,81.65,73.26,0,20.56,3.64,0.00
2019,1,2,NRMN,30.15,24.38,28.85,17.68,94.82,66.68,0,9.91,0.21,0.00
2019,1,3,NRMN,32.53,30.08,31.84,28.53,99.43,92.19,-996,-996.00,-996.00,0.73
2019,1,4,NRMN,43.78,28.11,33.46,26.65,99.20,55.37,-996,-996.00,-996.00,0.48
2019,1,5,NRMN,64.85,27.71,41.87,27.10,98.68,33.76,-996,10.60,0.00,0.16
2019,1,6,NRMN,65.82,42.55,55.14,36.42,88.92,53.31,8,20.71,4.03,0.00
2019,1,7,NRMN,66.97,40.08,55.76,34.44,87.69,34.71,9,18.03,1.03,0.00
2019,1,8,NRMN,55.85,35.27,37.41,23.57,93.41,32.15,-996,18.10,0.00,0.00
2019,1,9,NRMN,53.46,28.78,28.22,14.71,81.69,21.70,-996,7.31,0.28,0.00
2019,1,10,NRMN,49.86,34.80,28.34,19.93,58.73,33.59,7,16.79,2.72,0.00
2019,1,11,NRMN,44.71,40.33,43.45,28.21,97.96,53.18,7,17.07,8.24,0.60
2019,1,12,NRMN,45.99,32.58,45.93,27.85,99.74,78.34,15,22.41,6.01,0.03
2019,1,13,NRMN,33.97,29.99,29.09,26.31,87.15,79.13,0,16.38,3.99,0.00
2019,1,14,NRMN,46.65,32.58,32.83,28.35,88.31,56.41,-996,8.64,0.00,0.00
2019,1,15,NRMN,50.94,30.89,40.89,29.45,94.54,67.97,8,10.97,3.49,0.01
2019,1,16,NRMN,48.79,39.63,48.25,37.59,99.79,84.36,7,12.64,1.96,0.00
2019,1,17,NRMN,50.13,35.88,48.28,34.32,99.97,62.41,-996,16.95,0.00,0.00
2019,1,18,NRMN,64.02,34.98,50.45,33.11,98.73,55.81,7,33.84,2.41,0.01
2019,1,19,NRMN,37.58,21.96,32.87,16.02,83.57,59.63,15,32.48,6.19,0.00
2019,1,20,NRMN,44.19,17.60,23.24,14.04,89.95,38.60,7,11.91,0.42,0.00
2019,1,21,NRMN,56.26,33.85,42.11,23.08,81.40,39.88,7,23.44,6.83,0.00
2019,1,22,NRMN,55.06,25.58,50.49,15.40,93.50,64.32,7,24.85,7.44,0.01
2019,1,23,NRMN,42.71,20.71,21.44,15.08,82.46,37.14,14,22.12,1.11,0.00
2019,1,24,NRMN,47.89,25.57,28.60,18.37,81.43,40.77,-996,20.80,0.00,0.00
2019,1,25,NRMN,40.48,17.85,18.85,10.12,76.81,33.26,-996,8.79,0.00,0.00
2019,1,26,NRMN,55.47,22.48,29.95,18.13,91.37,25.47,10,10.87,0.00,0.00
2019,1,27,NRMN,59.56,29.36,31.57,23.22,83.16,27.71,13,13.01,0.93,0.00
2019,1,28,NRMN,47.10,24.68,34.04,15.14,69.98,38.10,0,29.06,0.54,0.00
2019,1,29,NRMN,43.53,19.03,21.02,8.10,84.94,25.41,13,11.67,0.00,0.00
2019,1,30,NRMN,42.62,19.00,19.79,11.54,80.64,35.74,4,14.19,1.55,0.00
2019,1,31,NRMN,52.56,23.64,44.61,17.49,87.45,65.39,7,13.65,2.16,0.00
2019,2,1,NRMN,61.12,45.20,52.24,44.17,99.46,64.20,6,10.48,1.47,0.00
2019,2,2,NRMN,62.11,52.36,54.94,51.05,95.72,74.70,8,16.11,5.84,0.00
2019,2,3,NRMN,71.06,57.13,56.74,51.82,92.78,50.68,8,20.92,8.92,0.00
2019,2,4,NRMN,61.36,39.93,56.61,37.35,93.12,62.55,2,16.80,0.57,0.00
2019,2,5,NRMN,44.93,35.26,44.89,35.10,99.96,89.54,1,11.72,2.44,0.03
2019,2,6,NRMN,40.82,34.31,40.82,34.31,100.00,99.50,1,17.96,2.98,0.05
2019,2,7,NRMN,34.68,18.67,34.63,8.65,99.82,54.33,15,28.66,6.45,0.00
2019,2,8,NRMN,35.03,13.78,13.13,3.98,78.51,31.12,4,11.90,1.77,0.02
2019,2,9,NRMN,40.18,21.28,27.40,11.59,79.43,30.79,6,12.96,1.51,0.01
2019,2,10,NRMN,41.17,31.77,40.02,27.46,100.00,79.65,8,13.75,2.60,0.02
2019,2,11,NRMN,52.77,40.00,51.14,40.00,100.00,82.81,6,23.35,1.65,0.09
2019,2,12,NRMN,53.65,30.90,40.18,18.96,90.93,25.76,15,29.37,0.00,0.00
2019,2,13,NRMN,61.79,33.66,32.96,22.32,67.52,28.36,8,24.14,3.48,0.00
2019,2,14,NRMN,69.49,47.62,36.58,25.09,59.78,19.85,9,18.61,1.59,0.00
2019,2,15,NRMN,47.21,23.44,34.23,20.31,90.19,59.67,0,19.42,7.10,0.00
2019,2,16,NRMN,33.58,22.13,32.14,20.35,98.50,88.07,-996,-996.00,-996.00,0.00
2019,2,17,NRMN,47.79,24.96,32.19,19.82,95.30,37.20,15,17.82,3.12,0.00
2019,2,18,NRMN,37.39,19.96,19.86,12.92,74.98,39.57,1,16.45,7.11,0.00
2019,2,19,NRMN,32.87,30.39,30.89,18.62,98.26,60.18,-996,-996.00,-996.00,0.09
2019,2,20,NRMN,52.61,29.99,33.79,18.20,99.11,27.43,-996,-996.00,-996.00,0.07
2019,2,21,NRMN,55.20,34.09,35.53,29.95,88.30,38.72,6,20.15,3.38,0.00
2019,2,22,NRMN,46.69,38.82,45.28,33.54,99.56,78.37,4,13.14,0.00,0.18
2019,2,23,NRMN,63.30,36.71,48.97,26.73,100.00,29.11,10,36.46,3.40,0.04
2019,2,24,NRMN,56.12,27.28,26.49,14.54,73.82,20.19,14,16.09,1.03,0.00
2019,2,25,NRMN,62.78,30.82,30.20,19.50,65.84,27.13,7,18.84,3.33,0.00
2019,2,26,NRMN,49.64,30.00,45.54,25.85,93.59,51.38,7,14.17,4.61,0.00
2019,2,27,NRMN,33.18,21.31,32.11,19.75,99.19,90.86,-996,-996.00,-996.00,0.00
2019,2,28,NRMN,25.04,20.22,23.71,18.57,94.60,87.25,-996,-996.00,-996.00,0.00
2019,3,1,NRMN,36.79,24.79,30.62,22.96,94.85,74.50,-996,-996.00,-996.00,0.03
2019,3,2,NRMN,35.82,26.48,30.70,25.05,95.27,74.43,-996,-996.00,-996.00,0.00
2019,3,3,NRMN,32.10,13.84,28.89,3.60,95.20,59.01,0,22.01,7.55,0.00
2019,3,4,NRMN,26.55,10.13,7.91,-3.22,75.34,31.29,0,17.16,0.00,0.00
2019,3,5,NRMN,42.54,12.94,11.94,3.68,81.25,22.23,15,14.36,0.72,0.00
2019,3,6,NRMN,53.62,20.40,20.69,9.07,64.95,19.75,7,18.79,0.06,0.00
2019,3,7,NRMN,61.29,39.90,43.26,20.79,89.28,36.40,8,17.09,0.00,0.00
2019,3,8,NRMN,54.14,41.76,49.58,38.88,99.66,76.45,0,11.55,0.17,0.00
2019,3,9,NRMN,72.82,46.12,53.37,28.15,95.77,19.63,1,31.36,2.20,0.20
2019,3,10,NRMN,46.06,37.30,38.80,25.31,97.82,48.74,1,18.43,1.97,0.54
2019,3,11,NRMN,60.42,38.38,50.34,37.74,98.44,65.20,1,12.50,0.69,0.19
2019,3,12,NRMN,60.69,51.19,60.23,49.80,99.54,91.26,7,15.86,2.38,0.05
2019,3,13,NRMN,70.12,50.04,60.81,32.91,97.89,32.31,9,34.18,3.20,1.05
2019,3,14,NRMN,54.43,42.27,33.07,22.23,64.28,39.26,14,25.93,9.43,0.00
2019,3,15,NRMN,54.19,33.49,25.85,17.48,71.80,24.53,15,21.50,0.00,0.00
2019,3,16,NRMN,61.27,27.14,29.84,19.32,92.14,21.66,-996,7.87,0.00,0.00
2019,3,17,NRMN,67.51,32.20,34.18,24.52,86.66,22.11,-996,9.99,0.12,0.00
2019,3,18,NRMN,69.15,36.21,34.26,26.80,77.93,21.76,-996,9.23,0.00,0.00
2019,3,19,NRMN,70.56,43.93,42.59,28.76,67.49,23.42,8,19.60,2.21,0.00
2019,3,20,NRMN,62.65,42.97,44.02,26.57,93.91,27.61,14,17.71,0.00,0.02
2019,3,21,NRMN,67.51,37.47,39.10,28.11,76.37,28.79,-996,11.88,0.43,0.00
2019,3,22,NRMN,72.73,37.88,39.16,31.81,87.54,26.05,-996,15.99,0.00,0.00
2019,3,23,NRMN,74.03,50.47,58.53,38.03,94.90,40.94,7,17.26,1.41,0.32
2019,3,24,NRMN,67.17,49.48,59.31,44.42,92.04,51.31,15,12.00,2.51,0.00
2019,3,25,NRMN,60.48,42.95,46.78,39.56,91.81,56.42,0,14.39,2.02,0.00
2019,3,26,NRMN,68.61,38.27,45.94,37.13,99.22,32.77,-996,8.85,0.00,0.00
2019,3,27,NRMN,73.92,49.62,47.60,40.45,78.30,35.21,7,19.69,4.51,0.00
2019,3,28,NRMN,74.80,56.86,58.53,47.05,76.84,56.90,8,23.29,6.36,0.00
2019,3,29,NRMN,70.07,48.92,58.99,46.53,95.01,67.91,7,20.22,6.52,0.02
2019,3,30,NRMN,48.74,36.69,46.34,25.09,96.61,54.09,0,27.85,9.68,0.55
2019,3,31,NRMN,51.28,30.35,26.16,18.32,77.06,27.83,0,13.36,1.76,0.00
2019,4,1,NRMN,57.76,36.19,31.23,21.94,77.95,27.96,-996,10.38,0.00,0.00
2019,4,2,NRMN,70.88,38.84,39.63,28.69,79.70,27.76,7,15.48,4.39,0.00
