YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,WSMN,RAIN
2018,1,1,NRMN,20.23,5.09,0.09,-3.81,71.76,35.09,1,15.65,3.67,0.00
2018,1,2,NRMN,21.27,8.13,6.30,-1.14,67.64,46.17,2,8.46,0.75,0.00
2018,1,3,NRMN,42.16,13.23,17.34,3.94,78.33,34.68,-996,16.43,0.00,0.00
2018,1,4,NRMN,45.17,17.51,17.90,11.21,84.38,30.72,-996,7.92,0.00,0.00
2018,1,5,NRMN,56.37,21.86,26.16,14.87,81.71,27.69,-996,6.44,0.20,0.00
2018,1,6,NRMN,58.46,24.73,41.34,17.47,74.34,36.07,7,16.46,2.45,0.00
2018,1,7,NRMN,51.01,41.74,50.17,32.49,100.00,51.48,7,20.38,2.29,0.18
2018,1,8,NRMN,55.56,32.66,37.82,30.01,93.20,38.72,-996,16.99,0.00,0.00
2018,1,9,NRMN,56.07,30.04,41.78,27.24,94.05,52.53,7,16.37,0.00,0.00
2018,1,10,NRMN,59.04,41.17,48.22,39.86,95.81,56.14,7,21.90,8.81,0.01
2018,1,11,NRMN,52.07,19.88,50.10,8.54,96.98,47.29,15,31.59,2.72,0.00
2018,1,12,NRMN,34.11,13.91,10.10,4.36,67.09,33.01,0,17.63,5.90,0.00
2018,1,13,NRMN,35.91,19.68,10.99,2.95,64.37,27.50,0,14.77,1.34,0.00
2018,1,14,NRMN,51.51,27.70,22.04,7.82,57.11,27.92,8,17.35,1.76,0.00
2018,1,15,NRMN,40.73,16.74,32.22,-1.44,78.47,37.89,0,27.27,0.99,0.00
2018,1,16,NRMN,20.17,6.26,1.88,-4.08,70.20,34.69,0,23.78,0.00,0.00
2018,1,17,NRMN,33.78,4.84,6.08,-2.11,85.92,27.19,-996,10.28,0.00,0.00
2018,1,18,NRMN,49.80,18.06,15.91,4.02,59.11,18.49,8,18.25,3.74,0.00
2018,1,19,NRMN,60.75,27.89,46.27,12.56,87.96,28.38,8,17.79,6.62,0.00
2018,1,20,NRMN,69.42,49.78,52.66,38.58,88.92,33.84,8,19.13,8.85,0.00
