YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,RAIN
2019,1,1,NRMN,29.19,22.72,22.99,16.79,81.65,73.26,0,20.56,0.00
2019,1,2,NRMN,30.15,24.38,28.85,17.68,94.82,66.68,0,9.91,0.00
2019,1,3,NRMN,32.53,30.08,31.84,28.53,99.43,92.19,-996,-996.00,0.73
2019,1,4,NRMN,43.78,28.11,33.46,26.65,99.20,55.37,-996,-996.00,0.48
2019,1,5,NRMN,64.85,27.71,41.87,27.10,98.68,33.76,-996,10.60,0.16
2019,1,6,NRMN,65.82,42.55,55.14,36.42,88.92,53.31,8,20.71,0.00
2019,1,7,NRMN,66.97,40.08,55.76,34.44,87.69,34.71,9,18.03,0.00
2019,1,8,NRMN,55.85,35.27,37.41,23.57,93.41,32.15,-996,18.10,0.00
2019,1,9,NRMN,53.46,28.78,28.22,14.71,81.69,21.70,-996,7.31,0.00
2019,1,10,NRMN,49.86,34.80,28.34,19.93,58.73,33.59,7,16.79,0.00
2019,1,11,NRMN,44.71,40.33,43.45,28.21,97.96,53.18,7,17.07,0.60
2019,1,12,NRMN,45.99,32.58,45.93,27.85,99.74,78.34,15,22.41,0.03
2019,1,13,NRMN,33.97,29.99,29.09,26.31,87.15,79.13,0,16.38,0.00
2019,1,14,NRMN,46.65,32.58,32.83,28.35,88.31,56.41,-996,8.64,0.00
2019,1,15,NRMN,50.94,30.89,40.89,29.45,94.54,67.97,8,10.97,0.01
2019,1,16,NRMN,48.79,39.63,48.25,37.59,99.79,84.36,7,12.64,0.00
2019,1,17,NRMN,50.13,35.88,48.28,34.32,99.97,62.41,-996,16.95,0.00
2019,1,18,NRMN,64.02,34.98,50.45,33.11,98.73,55.81,7,33.84,0.01
2019,1,19,NRMN,37.58,21.96,32.87,16.02,83.57,59.63,15,32.48,0.00
2019,1,20,NRMN,44.19,17.60,23.24,14.04,89.95,38.60,7,11.91,0.00
2019,1,21,NRMN,56.26,33.85,42.11,23.08,81.40,39.88,7,23.44,0.00
2019,1,22,NRMN,55.06,25.58,50.49,15.40,93.50,64.32,7,24.85,0.01
2019,1,23,NRMN,42.71,20.71,21.44,15.08,82.46,37.14,14,22.12,0.00
2019,1,24,NRMN,47.89,25.57,28.60,18.37,81.43,40.77,-996,20.80,0.00
2019,1,25,NRMN,40.48,17.85,18.85,10.12,76.81,33.26,-996,8.79,0.00
2019,1,26,NRMN,55.47,22.48,29.95,18.13,91.37,25.47,10,10.87,0.00
2019,1,27,NRMN,59.56,29.36,31.57,23.22,83.16,27.71,13,13.01,0.00
2019,1,28,NRMN,47.10,24.68,34.04,15.14,69.98,38.10,0,29.06,0.00
2019,1,29,NRMN,43.53,19.03,21.02,8.10,84.94,25.41,13,11.67,0.00
2019,1,30,NRMN,42.62,19.00,19.79,11.54,80.64,35.74,4,14.19,0.00
2019,1,31,NRMN,52.56,23.64,44.61,17.49,87.45,65.39,7,13.65,0.00
2019,2,1,NRMN,61.12,45.20,52.24,44.17,99.46,64.20,6,10.48,0.00
2019,2,2,NRMN,62.11,52.36,54.94,51.05,95.72,74.70,8,16.11,0.00
2019,2,3,NRMN,71.06,57.13,56.74,51.82,92.78,50.68,8,20.92,0.00
2019,2,4,NRMN,61.36,39.93,56.61,37.35,93.12,62.55,2,16.80,0.00
2019,2,5,NRMN,44.93,35.26,44.89,35.10,99.96,89.54,1,11.72,0.03
2019,2,6,NRMN,40.82,34.31,40.82,34.31,100.00,99.50,1,17.96,0.05
2019,2,7,NRMN,34.68,18.67,34.63,8.65,99.82,54.33,15,28.66,0.00
2019,2,8,NRMN,35.03,13.78,13.13,3.98,78.51,31.12,4,11.90,0.02
2019,2,9,NRMN,40.18,21.28,27.40,11.59,79.43,30.79,6,12.96,0.01
2019,2,10,NRMN,41.17,31.77,40.02,27.46,100.00,79.65,8,13.75,0.02
2019,2,11,NRMN,52.77,40.00,51.14,40.00,100.00,82.81,6,23.35,0.09
2019,2,12,NRMN,53.65,30.90,40.18,18.96,90.93,25.76,15,29.37,0.00
2019,2,13,NRMN,61.79,33.66,32.96,22.32,67.52,28.36,8,24.14,0.00
2019,2,14,NRMN,69.49,47.62,36.58,25.09,59.78,19.85,9,18.61,0.00
2019,2,15,NRMN,47.21,23.44,34.23,20.31,90.19,59.67,0,19.42,0.00
2019,2,16,NRMN,33.58,22.13,32.14,20.35,98.50,88.07,-996,-996.00,0.00
2019,2,17,NRMN,47.79,24.96,32.19,19.82,95.30,37.20,15,17.82,0.00
2019,2,18,NRMN,37.39,19.96,19.86,12.92,74.98,39.57,1,16.45,0.00
2019,2,19,NRMN,32.87,30.39,30.89,18.62,98.26,60.18,-996,-996.00,0.09
2019,2,20,NRMN,52.61,29.99,33.79,18.20,99.11,27.43,-996,-996.00,0.07
2019,2,21,NRMN,55.20,34.09,35.53,29.95,88.30,38.72,6,20.15,0.00
2019,2,22,NRMN,46.69,38.82,45.28,33.54,99.56,78.37,4,13.14,0.18
2019,2,23,NRMN,63.30,36.71,48.97,26.73,100.00,29.11,10,36.46,0.04
2019,2,24,NRMN,56.12,27.28,26.49,14.54,73.82,20.19,14,16.09,0.00
2019,2,25,NRMN,62.78,30.82,30.20,19.50,65.84,27.13,7,18.84,0.00
2019,2,26,NRMN,49.64,30.00,45.54,25.85,93.59,51.38,7,14.17,0.00
