YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,WSMN,RAIN
2017,1,1,NRMN,61.57,31.6,53.39,23.95,98.5,44.71,7,14.33,0.6,0
2017,1,2,NRMN,69.98,40.29,55.48,35.17,100,36.27,-996,15.07,0,0.01
2017,1,3,NRMN,45.85,27.1,41.9,10.7,96.5,45.14,15,24.09,0,0
2017,1,4,NRMN,36.25,20.72,13.73,7.75,68.29,31.49,1,16.04,1.87,0
2017,1,5,NRMN,25.53,16.05,14.14,5.3,81,53.76,0,20.76,5.49,0
2017,1,6,NRMN,17.81,3.4,13.07,0.11,94.5,64.54,1,15.88,0.95,0
2017,1,7,NRMN,34.49,-2.2,19.37,-4.47,96,44.94,-996,9.66,0,0.07
2017,1,8,NRMN,45.17,19.73,16.58,8.82,75.84,22.93,8,17.85,3.61,0.02
2017,1,9,NRMN,59.4,30.93,46.45,14.81,77.91,48.19,8,18.1,5.47,0
2017,1,10,NRMN,67.93,36.99,46.53,19.32,73.78,17.47,-996,22.35,0,0
2017,1,11,NRMN,78.75,36.06,56.05,27.28,85,27.97,8,24.61,1.83,0
2017,1,12,NRMN,66.2,24.85,56.09,16.14,73.72,37.96,0,19.82,6.58,0
2017,1,13,NRMN,35.52,28.07,30.25,20.17,100,57.79,0,14.98,6.31,0
2017,1,14,NRMN,33.04,28.89,33.04,28.89,100,99.3,-996,-996,-996,0.11
2017,1,15,NRMN,47.84,32.24,47.84,32.24,100,100,-996,-996,-996,1.59
2017,1,16,NRMN,50.9,35.11,41.94,32.6,100,59.56,10,19.66,0.79,0.04
2017,1,17,NRMN,54.32,32.25,42.05,30.94,98.7,41.93,15,13.46,0.02,0
2017,1,18,NRMN,55.85,34,46.42,34,100,62,-996,8.7,0,0
2017,1,19,NRMN,59.04,45.37,48.61,45.14,100,63.14,7,16.81,4.86,0
2017,1,20,NRMN,70.25,39.85,47.32,29.67,100,22.41,9,26.57,2.42,0
2017,1,21,NRMN,66.2,34.04,47.55,30.53,91.4,33.16,-996,11.8,0.11,0
2017,1,22,NRMN,58.73,37.27,46.71,30.41,95.2,41.07,15,28.97,0.36,0
